
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f pm-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	number
Parcel Map	8	87	954
Parcel Map	8	88	955
Parcel Map	8	89	956
Parcel Map	8	92	957
Parcel Map	8	93	958
Parcel Map	8	94	959
Parcel Map	8	95	960
Parcel Map	8	96	961
Parcel Map	8	97	962
Parcel Map	8	98	963
Parcel Map	8	99	964
Parcel Map	8	102	965
Parcel Map	8	104	966
Parcel Map	8	105	967
Parcel Map	8	106	968
Parcel Map	8	107	969
Parcel Map	8	108	970
Parcel Map	8	109	971
Parcel Map	8	110	972
Parcel Map	8	111	973
Parcel Map	8	112	974
Parcel Map	8	113	975
Parcel Map	8	114	976
Parcel Map	8	115	977
Parcel Map	8	116	978
Parcel Map	8	117	979
Parcel Map	8	118	980
Parcel Map	8	120	981
Parcel Map	8	121	982
Parcel Map	8	122	983
Parcel Map	8	123	984
Parcel Map	8	125	985
Parcel Map	8	126	986
Parcel Map	8	128	987
Parcel Map	8	130	988
Parcel Map	8	132	989
Parcel Map	8	134	990
Parcel Map	8	135	991
Parcel Map	8	136	992
Parcel Map	8	137	993
Parcel Map	8	145	994
Parcel Map	8	146	995
Parcel Map	8	147	907 AMENDED
Parcel Map	8	148	996
Parcel Map	8	149	997
Parcel Map	8	150	998
Parcel Map	9	1	999
Parcel Map	9	2	1000
Parcel Map	9	3	1001
Parcel Map	9	5	1002
Parcel Map	9	6	1003
Parcel Map	9	7	1004
Parcel Map	9	8	1005
Parcel Map	9	9	1006
Parcel Map	9	10	1007
Parcel Map	9	11	1008
Parcel Map	9	12	1009
Parcel Map	9	13	1010
Parcel Map	9	14	1011
Parcel Map	9	15	1012
Parcel Map	9	18	1013
Parcel Map	9	19	1014
Parcel Map	9	20	1015
Parcel Map	9	22	1016
Parcel Map	9	23	1017
Parcel Map	9	24	1018
Parcel Map	9	25	1019
Parcel Map	9	26	1020
Parcel Map	9	27	1021
Parcel Map	9	30	1022
Parcel Map	9	31	1023
Parcel Map	9	32	1024
Parcel Map	9	33	1025
Parcel Map	9	34	1026
Parcel Map	9	35	1027
Parcel Map	9	36	1028
Parcel Map	9	37	1029
Parcel Map	9	38	1030
Parcel Map	9	39	1031
Parcel Map	9	40	1032
Parcel Map	9	41	1033
Parcel Map	9	42	1034
Parcel Map	9	43	1035
Parcel Map	9	44	1036
